id,date,gallons,price_per_gallon,total_purchase_price,estimated_miles,odometer_reading,vehicle_id
2,2016-07-04,11.095,1.939,21.51,366,1,1
3,2016-07-13,5.704,1.879,10.72,184,1,1
4,2016-07-15,10.768,1.869,20.13,332,1,1
5,2016-07-21,10.53,1.849,19.47,307,1,1
6,2016-07-27,10.926,1.819,19.87,314,1,1
7,2016-08-04,11.343,1.859,21.09,376,1,1
8,2016-08-12,10.905,1.899,20.71,332,21162,1
9,2016-08-19,11.415,2.279,26.01,355,21470,1
10,2016-08-21,10.709,2.499,26.76,363,21782,1
11,2016-08-24,10.67,1.999,21.33,394,22095,1
12,2017-01-15,11.03,2.069,22.82,347,26349,1
13,2017-02-23,11.275,2.039,22.99,369,26683,1
14,2017-03-09,11.275,2.099,24.21,369,26966,1
15,2017-03-16,10.456,2.099,21.95,345,27215,1
16,2017-03-25,10.75,2.099,22.56,342,27489,1
17,2017-04-01,10.887,2.1119,23.07,357,27797,1
18,2017-04-05,10.857,2.119,23.00,373,28114,1
19,2017-04-16,9.481,2.999,28.43,1,50134,2
20,2017-04-26,9.897,2.999,29.68,1,50357,2
21,2017-05-04,9.211,2.999,27.62,1,50574,2
22,2017-05-23,9.2,2.549,25.00,1,50850,2
23,2017-05-30,5.001,2.999,15.00,1,51051,2
24,2017-06-07,4.263,2.349,10.01,1,51188,2
25,2017-06-10,9.291,2.349,23.45,1,51546,2
26,2017-06-23,9.315,2.469,23.00,1,51786,2
27,2017-06-30,9.429,2.519,23.75,1,52034,2
28,2017-07-29,9.342,2.569,24.00,1,52286,2
29,2017-08-08,9.099,2.699,24.56,1,52531,2
30,2017-08-16,5.809,2.639,15.33,1,52780,2
31,2018-01-23,9.274,2.989,27.72,1,53794,2
32,2018-04-06,6.54,3.059,20.01,1,54014,2
33,2018-08-18,9.467,2.656,28.01,1,54437,2
34,2018-02-11,10.409,2.179,22.68,328,81477,1
35,2018-02-11,16.815,2.499,42.02,345,81782,1
36,2018-02-11,16.692,2.399,40.04,350,82097,1
37,2018-02-15,15.043,2.299,33.98,328,82383,1
38,2018-02-24,16.38,2.259,37.00,350,82676,1
39,2018-03-05,16.104,2.409,38.79,319,82961,1
40,2018-03-15,15.81,2.219,35.08,364,83234,1
41,2018-04-05,12.201,2.459,30.00,259,83799,1
42,2018-04-11,12.4,2.459,34.50,301,84018,1
43,2018-04-15,17.135,2.599,44.53,325,84302,1
44,2018-05-08,16.514,2.529,41.76,326,84607,1
45,2018-05-12,12.419,2.619,32.53,340,84811,1
46,2018-05-17,14.24,2.809,40.00,334,85088,1
47,2018-05-18,11.752,2.759,32.42,260,85371,1
48,2018-05-18,14.634,2.479,36.28,367,85598,1
49,2018-05-20,16.513,2.779,45.85,364,86079,1
50,2018-05-31,16.855,2.759,46.50,359,86364,1
51,2018-06-26,16.445,2.459,41.18,335,86635,1
52,2018-07-04,16.224,2.249,36.49,328,86897,1
53,2018-07-13,20.148,2.159,43.50,329,87188,1
54,2018-07-20,14.93,2.499,37.31,328,87443,1
55,2018-07-27,14.006,2.499,35.00,319,87696,1
56,2018-08-04,16.514,2.599,42.92,326,87954,1
57,2018-08-13,17.082,2.689,45.93,323,88229,1
58,2018-08-22,16.539,2.529,41.83,320,88502,1
59,2018-09-10,17.404,2.499,43.49,320,88800,1
60,2018-10-01,16.717,2.989,49.97,320,89717,1
61,2018-10-02,17.433,2.889,50.36,335,90001,1
62,2018-10-06,16.864,2.699,45.52,345,90316,1
63,2018-10-12,13.127,2.779,36.18,3,90583,1
64,2018-10-20,17.211,2.419,41.63,350,90862,1
65,2018-10-25,17.095,2.759,47.17,344,91161,1
66,2018-11-02,16.235,2.599,42.19,346,91447,1
67,2018-11-12,15.999,2.399,39.38,354,91752,1
68,2018-11-15,17.037,2.399,40.87,345,92073,1
69,2018-11-23,16.38,2.219,36.35,350,92355,1
70,2018-12-05,17.03,2.199,37.45,381,92642,1
71,2018-12-12,16.813,1.999,33.61,356,92903,1
72,2018-12-18,16.716,1.999,33.42,346,93206,1
73,2018-12-22,15.416,1.929,30.66,331,93462,1
74,2018-12-26,17.446,2.099,36.62,329,39764,1
75,2019-01-01,16.641,1.849,30.77,358,94645,1
76,2019-01-04,16.025,1.969,31.55,335,94943,1
77,2019-01-11,16.958,1.879,31.86,322,95189,1
78,2019-01-22,15.603,1.959,30.57,308,96995,1
79,2019-01-31,16.443,1.859,30.57,298,97252,1
80,2019-03-02,15.22,2.129,32.40,288,97952,1
81,0003-11-19,17.299,2.159,37.35,298,98225,1
82,2019-03-31,1,1,NULL,1,1,NULL
83,2019-03-31,1,1,NULL,1,1,NULL
84,2019-03-31,1,1,1.00,2,2,NULL
1,2016-06-30,5.18,1.939,10.04,169,1,1
89,2019-04-01,1,1,1.00,1,1,1
